"","data","stato","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","casi_da_sospetto_diagnostico","casi_da_screening","totale_casi","tamponi","casi_testati","note","ingressi_terapia_intensiva","note_test","note_casi"
"1","2020-02-24T18:00:00","ITA",101,26,127,94,221,0,221,1,7,NA,NA,229,4324,NA,"",NA,NA,NA
"2","2020-02-25T18:00:00","ITA",114,35,150,162,311,90,93,1,10,NA,NA,322,8623,NA,"",NA,NA,NA
"3","2020-02-26T18:00:00","ITA",128,36,164,221,385,74,78,3,12,NA,NA,400,9587,NA,"",NA,NA,NA
"4","2020-02-27T18:00:00","ITA",248,56,304,284,588,203,250,45,17,NA,NA,650,12014,NA,"",NA,NA,NA
"5","2020-02-28T18:00:00","ITA",345,64,409,412,821,233,238,46,21,NA,NA,888,15695,NA,"",NA,NA,NA
"6","2020-02-29T18:00:00","ITA",401,105,506,543,1049,228,240,50,29,NA,NA,1128,18661,NA,"",NA,NA,NA
"7","2020-03-01T18:00:00","ITA",639,140,779,798,1577,528,566,83,34,NA,NA,1694,21127,NA,"",NA,NA,NA
"8","2020-03-02T18:00:00","ITA",742,166,908,927,1835,258,342,149,52,NA,NA,2036,23345,NA,"",NA,NA,NA
"9","2020-03-03T18:00:00","ITA",1034,229,1263,1000,2263,428,466,160,79,NA,NA,2502,25856,NA,"",NA,NA,NA
"10","2020-03-04T18:00:00","ITA",1346,295,1641,1065,2706,443,587,276,107,NA,NA,3089,29837,NA,"",NA,NA,NA
"11","2020-03-05T18:00:00","ITA",1790,351,2141,1155,3296,590,769,414,148,NA,NA,3858,32362,NA,"",NA,NA,NA
"12","2020-03-06T18:00:00","ITA",2394,462,2856,1060,3916,620,778,523,197,NA,NA,4636,36359,NA,"",NA,NA,NA
"13","2020-03-07T18:00:00","ITA",2651,567,3218,1843,5061,1145,1247,589,233,NA,NA,5883,42062,NA,"pd-IT-0003",NA,NA,NA
"14","2020-03-08T18:00:00","ITA",3557,650,4207,2180,6387,1326,1492,622,366,NA,NA,7375,49937,NA,"",NA,NA,NA
"15","2020-03-09T18:00:00","ITA",4316,733,5049,2936,7985,1598,1797,724,463,NA,NA,9172,53826,NA,"",NA,NA,NA
"16","2020-03-10T18:00:00","ITA",5038,877,5915,2599,8514,529,977,1004,631,NA,NA,10149,60761,NA,"pd-IT-0005",NA,NA,NA
"17","2020-03-11T17:00:00","ITA",5838,1028,6866,3724,10590,2076,2313,1045,827,NA,NA,12462,73154,NA,"nd-IT-0002",NA,NA,NA
"18","2020-03-12T17:00:00","ITA",6650,1153,7803,5036,12839,2249,2651,1258,1016,NA,NA,15113,86011,NA,"",NA,NA,NA
"19","2020-03-13T17:00:00","ITA",7426,1328,8754,6201,14955,2116,2547,1439,1266,NA,NA,17660,97488,NA,"",NA,NA,NA
"20","2020-03-14T17:00:00","ITA",8372,1518,9890,7860,17750,2795,3497,1966,1441,NA,NA,21157,109170,NA,"",NA,NA,NA
"21","2020-03-15T17:00:00","ITA",9663,1672,11335,9268,20603,2853,3590,2335,1809,NA,NA,24747,124899,NA,"",NA,NA,NA
"22","2020-03-16T17:00:00","ITA",11025,1851,12876,10197,23073,2470,3233,2749,2158,NA,NA,27980,137962,NA,"nd-IT-0004;nd-IT-0006",NA,NA,NA
"23","2020-03-17T17:00:00","ITA",12894,2060,14954,11108,26062,2989,3526,2941,2503,NA,NA,31506,148657,NA,"nd-IT-0009",NA,NA,NA
"24","2020-03-18T17:00:00","ITA",14363,2257,16620,12090,28710,2648,4207,4025,2978,NA,NA,35713,165541,NA,"nd-IT-0012;nd-IT-0014",NA,NA,NA
"25","2020-03-19T17:00:00","ITA",15757,2498,18255,14935,33190,4480,5322,4440,3405,NA,NA,41035,182777,NA,"",NA,NA,NA
"26","2020-03-20T17:00:00","ITA",16020,2655,18675,19185,37860,4670,5986,5129,4032,NA,NA,47021,206886,NA,"",NA,NA,NA
"27","2020-03-21T17:00:00","ITA",17708,2857,20565,22116,42681,4821,6557,6072,4825,NA,NA,53578,233222,NA,"",NA,NA,NA
"28","2020-03-22T17:00:00","ITA",19846,3009,22855,23783,46638,3957,5560,7024,5476,NA,NA,59138,258402,NA,"",NA,NA,NA
"29","2020-03-23T17:00:00","ITA",20692,3204,23896,26522,50418,3780,4789,7432,6077,NA,NA,63927,275468,NA,"",NA,NA,NA
"30","2020-03-24T17:00:00","ITA",21937,3396,25333,28697,54030,3612,5249,8326,6820,NA,NA,69176,296964,NA,"",NA,NA,NA
"31","2020-03-25T17:00:00","ITA",23112,3489,26601,30920,57521,3491,5210,9362,7503,NA,NA,74386,324445,NA,"",NA,NA,NA
"32","2020-03-26T17:00:00","ITA",24753,3612,28365,33648,62013,4492,6153,10361,8165,NA,NA,80539,361060,NA,"pd-IT-0007",NA,NA,NA
"33","2020-03-27T17:00:00","ITA",26029,3732,29761,36653,66414,4401,5959,10950,9134,NA,NA,86498,394079,NA,"",NA,NA,NA
"34","2020-03-28T17:00:00","ITA",26676,3856,30532,39533,70065,3651,5974,12384,10023,NA,NA,92472,429526,NA,"",NA,NA,NA
"35","2020-03-29T17:00:00","ITA",27386,3906,31292,42588,73880,3815,5217,13030,10779,NA,NA,97689,454030,NA,"pd-IT-0009",NA,NA,NA
"36","2020-03-30T17:00:00","ITA",27795,3981,31776,43752,75528,1648,4050,14620,11591,NA,NA,101739,477359,NA,"",NA,NA,NA
"37","2020-03-31T17:00:00","ITA",28192,4023,32215,45420,77635,2107,4053,15729,12428,NA,NA,105792,506968,NA,"",NA,NA,NA
"38","2020-04-01T17:00:00","ITA",28403,4035,32438,48134,80572,2937,4782,16847,13155,NA,NA,110574,541423,NA,"",NA,NA,NA
"39","2020-04-02T17:00:00","ITA",28540,4053,32593,50456,83049,2477,4668,18278,13915,NA,NA,115242,581232,NA,"",NA,NA,NA
"40","2020-04-03T17:00:00","ITA",28741,4068,32809,52579,85388,2339,4585,19758,14681,NA,NA,119827,619849,NA,"",NA,NA,NA
"41","2020-04-04T17:00:00","ITA",29010,3994,33004,55270,88274,2886,4805,20996,15362,NA,NA,124632,657224,NA,"",NA,NA,NA
"42","2020-04-05T17:00:00","ITA",28949,3977,32926,58320,91246,2972,4316,21815,15887,NA,NA,128948,691461,NA,"",NA,NA,NA
"43","2020-04-06T17:00:00","ITA",28976,3898,32874,60313,93187,1941,3599,22837,16523,NA,NA,132547,721732,NA,"",NA,NA,NA
"44","2020-04-07T17:00:00","ITA",28718,3792,32510,61557,94067,880,3039,24392,17127,NA,NA,135586,755445,NA,"",NA,NA,NA
"45","2020-04-08T17:00:00","ITA",28485,3693,32178,63084,95262,1195,3836,26491,17669,NA,NA,139422,807125,NA,"",NA,NA,NA
"46","2020-04-09T17:00:00","ITA",28399,3605,32004,64873,96877,1615,4204,28470,18279,NA,NA,143626,853369,NA,"",NA,NA,NA
"47","2020-04-10T17:00:00","ITA",28242,3497,31739,66534,98273,1396,3951,30455,18849,NA,NA,147577,906864,NA,"pd-IT-0011",NA,NA,NA
"48","2020-04-11T17:00:00","ITA",28144,3381,31525,68744,100269,1996,4694,32534,19468,NA,NA,152271,963473,NA,"",NA,NA,NA
"49","2020-04-12T17:00:00","ITA",27847,3343,31190,71063,102253,1984,4092,34211,19899,NA,NA,156363,1010193,NA,"dc-IT-0003",NA,NA,NA
"50","2020-04-13T17:00:00","ITA",28023,3260,31283,72333,103616,1363,3153,35435,20465,NA,NA,159516,1046910,NA,"",NA,NA,NA
"51","2020-04-14T17:00:00","ITA",28011,3186,31197,73094,104291,675,2972,37130,21067,NA,NA,162488,1073689,NA,"",NA,NA,NA
"52","2020-04-15T17:00:00","ITA",27643,3079,30722,74696,105418,1127,2667,38092,21645,NA,NA,165155,1117404,NA,"dc-IT-0005",NA,NA,NA
"53","2020-04-16T17:00:00","ITA",26893,2936,29829,76778,106607,1189,3786,40164,22170,NA,NA,168941,1178403,NA,"",NA,NA,NA
"54","2020-04-17T17:00:00","ITA",25786,2812,28598,78364,106962,355,3493,42727,22745,NA,NA,172434,1244108,NA,"",NA,NA,NA
"55","2020-04-18T17:00:00","ITA",25007,2733,27740,80031,107771,809,3491,44927,23227,NA,NA,175925,1305833,NA,"",NA,NA,NA
"56","2020-04-19T17:00:00","ITA",25033,2635,27668,80589,108257,486,3047,47055,23660,NA,NA,178972,1356541,935310,"",NA,NA,NA
"57","2020-04-20T17:00:00","ITA",24906,2573,27479,80758,108237,-20,2256,48877,24114,NA,NA,181228,1398024,943151,"dc-IT-0007",NA,NA,NA
"58","2020-04-21T17:00:00","ITA",24134,2471,26605,81104,107709,-528,2729,51600,24648,NA,NA,183957,1450150,971246,"pd-IT-0013",NA,NA,NA
"59","2020-04-22T17:00:00","ITA",23805,2384,26189,81510,107699,-10,3370,54543,25085,NA,NA,187327,1513251,1015494,"",NA,NA,NA
"60","2020-04-23T17:00:00","ITA",22871,2267,25138,81710,106848,-851,2646,57576,25549,NA,NA,189973,1579909,1052577,"pd-IT-0015;pd-IT-0017",NA,NA,NA
"61","2020-04-24T17:00:00","ITA",22068,2173,24241,82286,106527,-321,3021,60498,25969,NA,NA,192994,1642356,1147850,"dc-IT-0009;dc-IT-0011",NA,NA,NA
"62","2020-04-25T17:00:00","ITA",21533,2102,23635,82212,105847,-680,2357,63120,26384,NA,NA,195351,1707743,1186526,"",NA,NA,NA
"63","2020-04-26T17:00:00","ITA",21372,2009,23381,82722,106103,256,2324,64928,26644,NA,NA,197675,1757659,1210639,"dc-IT-0013",NA,NA,NA
"64","2020-04-27T17:00:00","ITA",20353,1956,22309,83504,105813,-290,1739,66624,26977,NA,NA,199414,1789662,1237317,"",NA,NA,NA
"65","2020-04-28T17:00:00","ITA",19723,1863,21586,83619,105205,-608,2091,68941,27359,NA,NA,201505,1846934,1274871,"",NA,NA,NA
"66","2020-04-29T17:00:00","ITA",19210,1795,21005,83652,104657,-548,2086,71252,27682,NA,NA,203591,1910761,1313460,"",NA,NA,NA
"67","2020-04-30T17:00:00","ITA",18149,1694,19843,81708,101551,-3106,1872,75945,27967,NA,NA,205463,1979217,1354901,"",NA,NA,NA
"68","2020-05-01T17:00:00","ITA",17569,1578,19147,81796,100943,-608,1965,78249,28236,NA,NA,207428,2053425,1398633,"dc-IT-0015",NA,NA,NA
"69","2020-05-02T17:00:00","ITA",17357,1539,18896,81808,100704,-239,1900,79914,28710,NA,NA,209328,2108837,1429864,"dc-IT-0017",NA,NA,NA
"70","2020-05-03T17:00:00","ITA",17242,1501,18743,81436,100179,-525,1389,81654,28884,NA,NA,210717,2153772,1456911,"",NA,NA,NA
"71","2020-05-04T17:00:00","ITA",16823,1479,18302,81678,99980,-199,1221,82879,29079,NA,NA,211938,2191403,1479910,"dc-IT-0019",NA,NA,NA
"72","2020-05-05T17:00:00","ITA",16270,1427,17697,80770,98467,-1513,1075,85231,29315,NA,NA,213013,2246666,1512121,"",NA,NA,NA
"73","2020-05-06T17:00:00","ITA",15769,1333,17102,74426,91528,-6939,1444,93245,29684,NA,NA,214457,2310929,1549892,"dc-IT-0021",NA,NA,NA
"74","2020-05-07T17:00:00","ITA",15174,1311,16485,73139,89624,-1904,1401,96276,29958,NA,NA,215858,2381288,1563557,"dc-IT-0023",NA,NA,NA
"75","2020-05-08T17:00:00","ITA",14636,1168,15804,72157,87961,-1663,1327,99023,30201,NA,NA,217185,2445063,1608985,"dc-IT-0025",NA,NA,NA
"76","2020-05-09T17:00:00","ITA",13834,1034,14868,69974,84842,-3119,1083,103031,30395,NA,NA,218268,2514234,1645076,"",NA,NA,NA
"77","2020-05-10T17:00:00","ITA",13618,1027,14645,68679,83324,-1518,802,105186,30560,NA,NA,219070,2565912,1676460,"",NA,NA,NA
"78","2020-05-11T17:00:00","ITA",13539,999,14538,67950,82488,-836,744,106587,30739,NA,NA,219814,2606652,1702283,"",NA,NA,NA
"79","2020-05-12T17:00:00","ITA",12865,952,13817,67449,81266,-1222,1402,109039,30911,NA,NA,221216,2673655,1741903,"dc-IT-0027",NA,NA,NA
"80","2020-05-13T17:00:00","ITA",12172,893,13065,65392,78457,-2809,888,112541,31106,NA,NA,222104,2735628,1778952,"",NA,NA,NA
"81","2020-05-14T17:00:00","ITA",11453,855,12308,64132,76440,-2017,992,115288,31368,NA,NA,223096,2807504,1820083,"dc-IT-0029",NA,NA,NA
"82","2020-05-15T17:00:00","ITA",10792,808,11600,60470,72070,-4370,789,120205,31610,NA,NA,223885,2875680,1859110,"dc-IT-0031",NA,NA,NA
"83","2020-05-16T17:00:00","ITA",10400,775,11175,59012,70187,-1883,875,122810,31763,NA,NA,224760,2944859,1899767,"",NA,NA,NA
"84","2020-05-17T17:00:00","ITA",10311,762,11073,57278,68351,-1836,675,125176,31908,NA,NA,225435,3004960,1933272,"",NA,NA,NA
"85","2020-05-18T17:00:00","ITA",10207,749,10956,55597,66553,-1798,451,127326,32007,NA,NA,225886,3041366,1959373,"pd-IT-0019",NA,NA,NA
"86","2020-05-19T17:00:00","ITA",9991,716,10707,54422,65129,-1424,813,129401,32169,NA,NA,226699,3104524,1999599,"dc-IT-0033",NA,NA,NA
"87","2020-05-20T17:00:00","ITA",9624,676,10300,52452,62752,-2377,665,132282,32330,NA,NA,227364,3171719,2038216,"",NA,NA,NA
"88","2020-05-21T17:00:00","ITA",9269,640,9909,51051,60960,-1792,642,134560,32486,NA,NA,228006,3243398,2078860,"",NA,NA,NA
"89","2020-05-22T17:00:00","ITA",8957,595,9552,49770,59322,-1638,652,136720,32616,NA,NA,228658,3318778,2121847,"",NA,NA,NA
"90","2020-05-23T17:00:00","ITA",8695,572,9267,48485,57752,-1570,669,138840,32735,NA,NA,229327,3391188,2164426,"",NA,NA,NA
"91","2020-05-24T17:00:00","ITA",8613,553,9166,47428,56594,-1158,531,140479,32785,NA,NA,229858,3447012,2198632,"pd-IT-0021",NA,NA,NA
"92","2020-05-25T17:00:00","ITA",8185,541,8726,46574,55300,-1294,300,141981,32877,NA,NA,230158,3482253,2219308,"dc-IT-0035",NA,NA,NA
"93","2020-05-26T17:00:00","ITA",7917,521,8438,44504,52942,-2358,397,144658,32955,NA,NA,230555,3539927,2253252,"",NA,NA,NA
"94","2020-05-27T17:00:00","ITA",7729,505,8234,42732,50966,-1976,584,147101,33072,NA,NA,231139,3607251,2290551,"",NA,NA,NA
"95","2020-05-28T17:00:00","ITA",7379,489,7868,40118,47986,-2980,593,150604,33142,NA,NA,231732,3683144,2330389,"",NA,NA,NA
"96","2020-05-29T17:00:00","ITA",7094,475,7569,38606,46175,-1811,516,152844,33229,NA,NA,232248,3755279,2368622,"dc-IT-0037",NA,NA,NA
"97","2020-05-30T17:00:00","ITA",6680,450,7130,36561,43691,-2484,416,155633,33340,NA,NA,232664,3824621,2404673,"nd-IT-0016",NA,NA,NA
"98","2020-05-31T17:00:00","ITA",6387,435,6822,35275,42097,-1594,355,157507,33415,NA,NA,233019,3878739,2433621,"pd-IT-0023",NA,NA,NA
"99","2020-06-01T17:00:00","ITA",6099,424,6523,34844,41367,-730,178,158355,33475,NA,NA,233197,3910133,2451674,"",NA,NA,NA
"100","2020-06-02T17:00:00","ITA",5916,408,6324,33569,39893,-1474,318,160092,33530,NA,NA,233515,3962292,2477302,"",NA,NA,NA
"101","2020-06-03T17:00:00","ITA",5742,353,6095,33202,39297,-596,321,160938,33601,NA,NA,233836,3999591,2497337,"",NA,NA,NA
"102","2020-06-04T17:00:00","ITA",5503,338,5841,32588,38429,-868,177,161895,33689,NA,NA,234013,4049544,2524788,"dc-IT-0039",NA,NA,NA
"103","2020-06-05T17:00:00","ITA",5301,316,5617,31359,36976,-1453,518,163781,33774,NA,NA,234531,4114572,2565258,"",NA,NA,NA
"104","2020-06-06T17:00:00","ITA",5002,293,5295,30582,35877,-1099,270,165078,33846,NA,NA,234801,4187057,2599294,"",NA,NA,NA
"105","2020-06-07T17:00:00","ITA",4864,287,5151,30111,35262,-615,197,165837,33899,NA,NA,234998,4236535,2627188,"",NA,NA,NA
"106","2020-06-08T17:00:00","ITA",4729,283,5012,29718,34730,-532,280,166584,33964,NA,NA,235278,4263647,2643489,"",NA,NA,NA
"107","2020-06-09T17:00:00","ITA",4581,263,4844,28028,32872,-1858,283,168646,34043,NA,NA,235561,4318650,2675689,"dc-IT-0041;dc-IT-0043",NA,NA,NA
"108","2020-06-10T17:00:00","ITA",4320,249,4569,27141,31710,-1162,202,169939,34114,NA,NA,235763,4381349,2713554,"",NA,NA,NA
"109","2020-06-11T17:00:00","ITA",4131,236,4367,26270,30637,-1073,379,171338,34167,NA,NA,236142,4443821,2746545,"",NA,NA,NA
